title,release_date,genres,overview,first_genre
Cosi,1996-03-04,Comedy|Romance,lewi young director get first job direct play mental hospit patient cast play decid cosi fan tutt opera mozart,Comedy
Sunset Park,1996-04-26,Drama,white school teacher take talent undisciplin black high school basketbal team turn win team,Drama
Mulholland Falls,1996-04-26,Drama|Mystery|Thriller,los angel special crime squad lapd investig murder young woman,Drama
The Truth About Cats & Dogs,1996-04-26,Comedy|Romance,success veterinarian radio show host low self-esteem ask model friend imperson handsom man want see,Comedy
Oliver & Company,1988-11-18,Animation|Comedy|Family,anim take oliv twist re-imagin oliv ador orphan kitten struggl surviv new york citi fall band canin crimin led evil human first oliv meet dodger carefre mutt street savoir fair oliv meet wealthi jenni gang thiev mission life chang forev,Animation
Celtic Pride,1996-04-19,Comedy,nation basketbal associ play-off take place boston celtic face utah jazz crucial seri also last year game play boston garden go torn end season mike jimmi die-hard sport fan risk anyth celtic win realli get game ,Comedy
Flipper,1996-05-17,Adventure|Family,sandi rick sent mom coral key rustic island florida key spend summer uncl porter rick sandi dislik everyth new environ new friend come life dolphin name flipper bring uncl nephew togeth lead sandi summer adventur lifetim,Adventure
Captives,1994-05-03,Drama|Thriller|Mystery|Romance,beauti young dentist work tough british prison start becom attract violent inmat break-up marriag embark illicit affair terribl consequ,Drama
Of Love and Shadows,1994-05-10,Drama,iren magazin editor live shadow pinochet dictatorship chile francisco handsom photograph come iren job sympath underground resist movement francisco open eye heart atroc commit state,Drama
Dead Man,1995-12-23,Drama|Fantasy|Western,run murder man account william blake encount strang north american man name nobodi prepar journey spiritu world,Drama
Switchblade Sisters,1975-01-05,Action|Crime|Drama,tough gang teenag girl look love fight turf mean street citi bad girl core imposs outrag high school hoodlum go want creat mayhem wherev go ,Action
Mouth to Mouth,1995-11-10,Comedy|Foreign,financi reason unemploy aspir actor work phone-sex enterpris day receiv call mysteri wife best client,Comedy
Multiplicity,1996-07-19,Comedy|Fantasy|Science Fiction,construct worker doug kinney find pressur work life combin duti wife laura daughter jennif leav littl time howev approach geneticist dr owen leed offer doug rather unusu solut problem clone,Comedy
"The Haunted World of Edward D. Wood, Jr.",1996-05-01,Documentary,strang life wonder aw film hollywood z movi director ed wood profil documentari conceiv research sever year commercial-filmmak tim burton made featur film tribut actual wood appear much film rather center live thought entourag knew interview wood former lover star earliest film dolor fuller abrupt replac middl bride monster actress loretta king also interview,Documentary
Two Friends,2002-03-20,Drama|Foreign,sicilian friend nunzio pino share apart turin nunzio work factori laid ill pino hand mysteri man alway travel work nunzio would much know friend live pino tell nunzio spend free time best friend absenc end fall love maria commerci employe health condit deterior ,Drama
The Craft,1996-05-03,Drama|Fantasy|Horror|Thriller,cathol school newcom fall cliqu teen witch wield power dare cross teacher rival meddlesom parent,Drama
The Great White Hype,1996-05-03,Comedy|Drama,when champ promot rev sultan decid someth new need boost market box match search find man ever beat champ problem n't boxer anymor 's white howev rev sultan convinc fight goe heavi train confid champ take easi fall shape,Comedy
Last Dance,1996-05-02,Drama|Thriller,take new job young lawyer rick hay assign clemenc case cindi liggett woman convict first degre murder sentenc death hay investig background case begin form deep friendship date execut draw nearer,Drama
Cold Comfort Farm,1995-01-01,Comedy|Drama|Romance,adapt satir british novel flora post plucki london societi girl orphan age find new home rough relat starkadd cold comfort farm take-charg attitud encourag mischiev friend mari flora chang starkadd live forev settl rustic estat bring backward clan date find inspir novel process,Comedy
"Institute Benjamenta, or This Dream People Call Human Life",1995-08-01,Animation|Drama,jakob arriv institut benjamenta run brother sister johann lisa benjamenta learn becom servant men studi lisa absurd lesson movement draw circl servil ask better room student arriv none leav employ johann unhappi imperi detach school oper lisa beauti first tight control verg breakdown 's whiff incest jakob drawn lisa perhap winter set becom cataton thing get wors johann note happen jakob came is caus effect ,Animation
Heaven's Prisoners,1996-05-17,Drama|Mystery|Thriller,harden new orlean cop dave robicheaux final toss badg settl life bayou wife bizarr plane crash draw back fray famili vicious threaten,Drama
Original Gangstas,1996-05-10,Action|Drama|Crime|Thriller,violent street gang rebel rule street gari indiana rebel shoot marvin bookman store-keep give polic inform drive-bi shoot commit marvin son former nfl star john creat rebel return gari father littl help friend destroy rebel way,Action
Getting Away with Murder,1996-04-12,Comedy,when moralist colleg ethic instructor jack lambert find live next door accus german death camp command take rid world man,Comedy
Twister,1996-05-10,Action|Adventure|Drama,tv weatherman bill hard tri get tornado-hunt wife jo sign divorc paper marri girlfriend melissa mother natur form seri intens storm sweep oklahoma plan soon join team stormchas attempt insert revolutionari measur devic heart sever extrem violent tornado,Action
Barb Wire,1996-05-02,Action|Science Fiction,sexi nightclub owner barb wire moonlight mercenari steel harbor last free zone fascist unit state when scientist cora devonshir wander barb establish get rope top-secret govern plot involv biolog weapon soon barb reunit old flame axel hood cora husband guerrilla fighter result plenti tens action,Action
Honeymoon,1996-04-11,Comedy,german comedi,Comedy
Ghost in the Shell,1995-11-18,Action|Animation|Science Fiction,year barrier world broken net cybernet bring new vulner human form brain-hack when highly-w hacker known the puppetmast begin involv polit section group cybernet enhanc cop call investig stop puppetmast,Action
Thinner,1996-10-25,Horror|Thriller,fat lawyer find grow thinner old gypsi man place hex now lawyer must call friend organ crime help persuad gypsi lift curs time run desper lawyer draw closer death grow ever thinner,Horror
Spy Hard,1996-05-24,Action|Comedy,evil gen rancor sight set world domin man stop dick steel also known agent wd-40 rancor need obtain comput circuit missil plan fire steel team veroniqu ukrinski kgb agent father design chip togeth tri locat evil mastermind headquart veroniqu father sever hostag held,Action
Brothers in Trouble,1995-08-23,Comedy|Drama,amir illeg pakistani immigr smuggl england work send money famili perhap even bring skill labor forc unskil work shovel sheep dung process wool live board hous near dozen men supervis hussein shah befriend young student sakib dream writer exist punctuat secret movi visit prostitut fear detect deport gangster-lik smuggler come take week household shaken arriv white girl shah girlfriend sens feminin famili bring,Comedy
Force of Evil,1948-12-25,Drama|Action|Crime,lawyer joe mors want consolid small-tim number racket oper big power oper elder brother leo small-tim oper want stay way prefer deal gangster domin big-tim,Drama
The Stupids,1996-08-30,Comedy|Family,incred dull-wit famili unknow stumbl illeg weapon deal trail stolen garbag,Comedy
The Arrival,1996-05-31,Action|Mystery|Science Fiction|Thriller,zane ziminski astrophysicist receiv messag seem extraterrestri origin eerili soon discoveri zane fire embark search determin origin transmiss lead hitchcockian labyrinth paranoia intrigu,Action
The Man from Down Under,1943-08-04,Drama|War,australian blowhard rais orphan children year lead wwii,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,Drama|Comedy|War,insan general jack d ripper initi nuclear strike soviet union as soon action general buck turgidson discov war room full politician general russian diplomat frantic tri stop nuclear strike end scene probabl uniqu unforgett perform slim picken movi career peter seller play multipl role film,Drama
Careful,1992-09-30,Horror|Comedy|Drama|Fantasy,remot alpin villag tolzbad turn centuri peopl talk quiet restrain movement lest avalanch come kill atmospher lend repress emot shown parallel stori butler student johann lust mother old flame mysteri count knotker klara attract father lust daughter lead duel suicid plung galor shot style earli german sound film complet intertitl deliber crack soundtrack hand-tint colour effect,Horror
A Month by the Lake,1995-09-11,Comedy|Drama|Romance,year miss bentley spend april eleg hillsid villa lake como year london societi artist father recent die english-speak guest brash american then major wilshaw arriv suggest meet cocktail miss bentley stand even think help new nanni italian famili settl miss beaumont tall young american drop finish school switzerland bore find amus flirt major libido awaken first time great war miss bentley find major admir ear,Comedy
Gold Diggers: The Secret of Bear Mountain,1995-11-03,Drama,teen girl citi countri tri find hidden gold bear mountain learn friendship loyalti courag way,Drama
Carmen Miranda: Bananas Is My Business,1995-04-13,Documentary,biographi portuguese-brazilian singer carmen miranda distinct featur tutti frutti hat came us brazilian bombshel broadway hollywood star,Documentary
Ashes of Time,1994-09-16,Drama|Action,film set part season part chines almanac stori take place jianghu world martial art ouyang feng live western desert year left home white camel mountain woman love chose marri elder brother rather instead seek glori end agent when peopl come wish elimin someon wrong put touch swordsman job,Drama
Maya Lin: A Strong Clear Vision,1995-11-10,Documentary,film work artist famous monument vietnam memori wall civil right fountain memori,Documentary
Stalingrad,1993-01-21,Drama|History|War, stalingrad follow progress german platoon brutal fight battl stalingrad number wipe place command sadist captain lieuten platoon lead men desert men platoon attempt escap citi surround soviet armi,Drama
The Phantom,1996-06-06,Adventure|Action,successor role bengalla resid superhero must travel new york prevent rich madman obtain magic skull would give secret ultim power,Adventure
Striptease,1996-06-28,Drama|Thriller|Crime,bounc job erin grant need money 's chanc win back custodi child eventu must confront nake truth take system ll take erin strip conquer face unintend circumst hound dog congressman zero sharpen shadi tool fingertip includ blackmail murder,Drama
The Last of the High Kings,1996-12-06,Drama|Comedy, dublin rock music thin lizzi world stun death elvi presley franki caught acn adulthood complet final exam school convinc fail surviv summer organis beach parti lust thought girl believ unobtain fend advanc visit american famili friend whilst cope oddbal famili,Drama
Heavy,1995-01-20,Drama|Romance,victor cook work greasi bar/restaur own mother dolli 's waitress name delor heavi drink regular leo thing chang calli beauti colleg drop-out show new waitress steal victor heart victor shi anyth self-consci overweight dream win calli away,Drama
Jack,1996-08-09,Comedy|Drama|Science Fiction,jack powel suffer afflict make grow time faster normal 10-year-old look 40-year-old man year tutor home jack convinc overprotect parent send public school children n't know make jack help fifth-grad teacher make effort win,Comedy
I Shot Andy Warhol,1996-05-01,Drama,base true stori valeri solana 60s radic preach hatr men scum manifesto wrote screenplay film want andi warhol produc continu ignor shot valeri stori,Drama
The Grass Harp,1995-09-10,Comedy|Drama|Family,base novel truman capot often-witti coming-of-ag drama look young man grow unusu famili deep south,Comedy
Someone Else's America,1995-09-09,Drama,tale take place bar spanish alonso blind mother run place bay alonso friend live stori tell someth alonso bay american dream,Drama
Touki Bouki,1973-07-01,Drama|Romance,cowherd skull-mount motorcycl univers student meet dakar put life seneg plan make money pari,Drama
God's Gift,1982-01-01,Drama,pre-coloni time peddler cross savanna discov child lie unconsci bush when boy come mute explain peddler leav famili nearest villag search parent famili adopt give name wend kuuni god gift love sister bond wend kuuni regain speech wit tragic event prompt reveal pain histori,Drama
Spirits of the Dead,1968-05-16,Drama|Mystery|Horror,director adapt poe short stori screen  tobi dammit featur dishevel drug drunk english movi star nod accept italian press produc fawn metzengerstein featur mediv countess love-h relationship black stallion turn realli dead lover william wilson tell stori sadist austrian student exact doubl later kill,Drama
Trainspotting,1996-02-23,Drama|Crime,renton deepli immers edinburgh drug scene tri clean get allur drug influenc friend,Drama
Til There Was You,1997-05-30,Comedy|Romance,stranger path alway cross final meet fate step took twenti year fall love first sight,Comedy
Independence Day,1996-06-25,Action|Adventure|Science Fiction,juli giant alien mothership enter orbit earth deploy sever dozen saucer-shap destroy spacecraft quick lay wast major citi planet juli unit state conduct coordin counterattack fail juli plan devis gain access interior alien mothership space order plant nuclear missil,Action
Stealing Beauty,1996-03-29,Drama|Romance,luci harmon american teenag arriv lush tuscan countrysid sculpt famili friend live beauti villa luci visit year earlier exchang kiss italian boy hope becom reacquaint,Drama
The Fan,1996-08-15,Drama|Mystery|Thriller,when san francisco giant pay centerfield bobbi rayburn lead team world seri one happier support # fan gil renard so rayburn becom mire worst slump career obsess renard decid stop noth help idol regain former glori even murder,Drama
The Hunchback of Notre Dame,1996-06-21,Drama|Animation|Family,when quasi defi evil frollo ventur festiv fool cruel crowd jeer rescu fellow gypsi esmeralda quasi soon find battl save peopl citi love,Drama
The Cable Guy,1996-06-10,Comedy|Drama|Thriller,when recent singl steven move new apart cabl guy chip come hook n't let go initi chip overzeal desir steven pal steven tri end friendship chip show dark side begin stalk steven 's left fend one els believ chip capabl behavior,Comedy
Eraser,1996-06-21,Action|Drama|Mystery|Thriller,u.s marshal john kruger eras ident peopl enrol wit protect program current assign protect lee cullen 's uncov evid weapon manufactur work sell terrorist group when kruger discov 's corrupt agent program must guard life tri protect lee,Action
The Gate of Heavenly Peace,1995-01-01,Documentary,gate heaven peac feature-length documentari protest movement reflect drama tension humor absurd heroism mani tragedi week april june film reveal hard-lin govern margin moder protest includ student worker intellectu action radic protest undermin moder govern moder voic gradual cow silenc extrem emot side,Documentary
An Unforgettable Summer,1994-05-15,Drama|Romance|War,romania young marie-theres von debretsi refus flirtati advanc husband command offic result cosmopolitan famili reassign brutal bleak danger outpost bulgarian/romanian frontier relationship human sever test,Drama
Somebody to Love,1994-09-27,Comedy|Drama,merced taxi dancer want actress 's involv marri harri consid respect actor ernesto love merced n't danc money,Comedy
A Very Natural Thing,1974-01-01,Drama,when david ex-monk still twenti meet mark fall hard soon 's ask mark live togeth thing go well awhil differ definit commit begin push apart mark want sexual adventur david tri go along can talk crisi relationship breakup of david see relationship mark marriag end david heart ever heal ,Drama
Daylight,1996-12-06,Action|Adventure|Thriller,group arm robber flee polic head new jersey tunnel run right truck transport toxic wast spectacular explos follow result end tunnel collaps hand peopl surviv explos peril kit latura man skill knowledg lead band survivor tunnel structur collaps,Action
The Frighteners,1996-07-18,Horror|Comedy,onc architect frank bannist pass exorcist evil spirit to bolster facad claim special gift result car accid kill wife count peopl die small town live tri piec togeth supernatur mysteri kill fall love wife victim deal crazi fbi agent,Horror
Lone Star,1996-06-21,Drama|Mystery|Romance,when skeleton murder predecessor found sheriff sam deed unearth mani long-buri secret texa border town,Drama
Harriet the Spy,1996-07-10,Comedy|Drama|Family,when secret notebook young girl fanci spi found friend specul make unpopular can win friend back ,Comedy
Phenomenon,1996-07-05,Drama|Fantasy|Romance|Science Fiction,ordinari man see bright light descend sky discov super-intellig telekinesi,Drama
Walking and Talking,1996-07-17,Comedy|Drama|Romance,thing tough late amelia best friend move apart cat got cancer best friend laura get marri cope thing help andrew frank laura brief romanc bill ugli guy,Comedy
She's the One,1996-08-26,Comedy|Romance,mickey free-spirit new york cabbi franci materialist wall street stockbrok extrem competit confus women result father influenc disagre everyth thing common mickey ex-fianc heather franci secret love brother beauti wive heather trigger longtim sibl rivalri,Comedy
A Time to Kill,1996-07-24,Crime|Drama|Thriller,young lawyer defend black man accus murder men rape 10-year-old daughter spark rebirth kkk,Crime
American Buffalo,1996-09-13,Drama,inner-c loser plan robberi valuabl coin seedi second-hand junk shop,Drama
Rendezvous in Paris,1995-03-22,Romance|Comedy,stori love coincid theme date pari,Romance
Alaska,1996-08-14,Adventure,jake barn kid sean jessi move alaska wife die former airlin pilot deliv toilet paper mountain emerg deliveri storm plane goe somewher mountain annoy author n't enough jessi sean set adventur find father help polar bear save feroci poacher conflict ensu,Adventure
Fled,1996-07-19,Action|Comedy|Thriller,routin prison work detail convict piper chain dodg cyberhack gunfir break appar attack relat stolen money mafia comput file somebodi want desper buri pair n't exact enjoy compani escap must work togeth reach atlanta aliv luckili meet woman may will help,Action
Power 98,1996-05-17,Action|Mystery|Thriller,controversi talk show host becom involv murder beauti woman war rate,Action
A Very Brady Sequel,1996-08-23,Comedy,man claim carol bradi long-lost first husband roy martin show suburban bradi resid even impostor man actual determin steal bradi familiar hors statu 20-million ancient asian artifact,Comedy
Stefano Quantestorie,1993-05-26,Comedy,la storia di stefano maurizio nichetti sembra molto normal cosa sarebb successo nella sua vita se le molt vite possibili di stefano si intrecciano modi imprevedibili,Comedy
Death in the Garden,1956-09-21,Adventure|Drama,revolut south american mine outpost band fugit roguish adventur local hooker priest age diamond miner deaf-mut daughter forc flee live jungl starv exhaust strip old ident wander desper lure decept promis salvat,Adventure
Kaspar Hauser,1993-09-11,Drama|Foreign,overview found,Drama
Regular Guys,1996-05-30,Comedy|Foreign,christoph cop self-confid macho troubl fianc long night wake arm edgar good-look gay auto-mechan live get troublesom girl friend throw apart last resort move edgar place work togeth new good-look self-confid femal collegu live good-look gay guy make pretti uncertain sexual role cop written konstantin articus,Comedy
The Convent,1995-09-06,Thriller,journey michael padov american professor arriv wife helen portugues convent expect find document need prove theori shakespear born spain england,Thriller
The Adventures of Pinocchio,1996-07-26,Animation|Family|Fantasy,puppet-mak geppetto creation come magic life puppet pinocchio major desir becom real boy someday order accomplish goal learn act respons film show adventur learn valuabl lesson,Animation
The First Wives Club,1996-09-20,Comedy,year help hubbi climb ladder success mid-lif manhattanit dump newer curvier model trio determin turn pain gain come clever devious plan hit exe realli hurt wallet ,Comedy
Stonewall,1995-10-01,Romance|Drama|Comedy,group homosexu peopl tri live digniti self-respect event build open battl major gay right movement,Romance
Ransom,1996-11-08,Action|Thriller,when rich man son kidnap cooper polic first tri uniqu tactic crimin,Action
High School High,1996-10-25,Comedy,richard clark left well-known wellington academi teach marion barri high school now tri inspir d-averag student make good grade tri woo fellow teacher,Comedy
Phat Beach,1996-08-02,Comedy,hefti homeboy borrow dad merced goe beach friend wild sun amp fun,Comedy
Foxfire,1996-08-23,Action|Drama|Thriller,stori teenag girl form unlik bond beat teacher sexual harass build solid friendship wild way begin get control,Action
Chain Reaction,1996-08-02,Action|Drama|Science Fiction|Thriller,research green altern energi project put run frame murder treason,Action
Matilda,1996-08-02,Comedy|Family|Fantasy,grouchi coupl parent sweet girl matilda bratti brother mean parent matilda becom sweet extrem intellig year old girl keen go school read book parent send school worst princip world sweet teacher good friend tri put parent princip cruelti start unwit unleash telekinet power destroy televis make newt fli princip enough practic matilda start learn control telekinet power soon use princip drive away school,Comedy
The Crow: City of Angels,1996-08-29,Action|Fantasy|Thriller,ash littl son murder violent reason judah men return dead take reveng judah peopl face power dark angel second film base jame o'barr cult comic,Action
House Arrest,1996-08-14,Comedy|Family,high-school grover beindorf younger sister staci decid parent janet ned act childish decid divorc year marriag lock basement ll sort problem school friend also decid parent solv respect problem,Comedy
Eyes Without a Face,1960-01-11,Drama|Horror|Thriller,professor genessi guilt-stricken daughter face disfigur car accid intend rebuild daughter face graft skin tissu need suppli donor experi,Drama
Bordello of Blood,1996-08-16,Horror|Comedy,privat eye rafe guttman hire repress born-again katherin find miss bad-boy brother trail lead whorehous run thousand-year-old vampir secret back katherin boss televangelist jimmi current,Horror
Lotto Land,1995-06-01,Drama,film tell interwoven stori single-par famili poor racially-mix neighborhood brooklyn first stori young black man aspir get away friend involv drug fall love latino girl head colleg full scholarship second parent work neighborhood liquor store work phone compani stori take place backdrop win lotteri ticket sold someon neighborhood liquor store,Drama
Flirt,1995-09-14,Drama|Romance,situat play differ citi new york berlin japan lover choos commit partner return home case peopl involv ex-partn someon els perman relationship choos ,Drama
The Big Squeeze,1996-09-06,Drama,benni hapless grifter thrown train cheat card life tanya love bartend tanya support husband former ballplay accid wait insur settlement solv financi woe come refus share claim newfound pieti money root evil enlist help benni concoct scheme get fair share settlement find local cathol mission need money repair benni decid creat miracl encourag husband henri fork money benni tanya intercept share,Drama
The Spitfire Grill,1996-08-23,Comedy|Drama,perci releas prison goe small town gillead find place start taken hannah help place spitfir grill perci bring chang small town stir resent fear growth other,Comedy
Escape from L.A.,1996-08-09,Action|Adventure|Science Fiction|Thriller,time cataclysm temblor hit los angel turn island presid view quak sign expel los angel countri make penal coloni found guilti moral crime when daughter part resist movement steal control unit doomsday weapon snake get tap save day,Action
Cyclo,1995-01-01,Crime|Drama,follow young cyclo cab driver poverty-driven descent crimin modern-day ho chi minh citi boy struggl scratch live sister grandfath mean street citi lead petti crime behalf mysteri madam rent cyclo,Crime
Tin Cup,1996-08-16,Comedy|Drama|Romance,wash golf work drive rang tri qualifi us open order win heart succes rival girlfriend,Comedy
Dingo,1991-06-02,Drama|Music,young john anderson captiv jazz musician billi cross perform remot airstrip western australian outback hometown plane divert year later famili man make meagr live track dingo play trumpet local band john still dream join billi trumpet make pilgrimag pari,Drama
The Ballad of Narayama,1958-06-01,Drama,kabuki style film tell stori remot mountain villag scarciti food lead voluntari socially-enforc polici relat carri 70-year-old famili member narayama mountain die granni orin approach content embrac fate widow son tatsuhei bear lose mother even arrang marriag widow age grandson kesa 's girlfriend pregnant selfish happi see orin die famili thiev dealt sever old man past son cast scroung food will orin love accept spirit teach ennobl famili ,Drama
The Godfather,1972-03-14,Drama|Crime,span year chronicl fiction italian-american corleon crime famili when organ crime famili patriarch vito corleon bare surviv attempt life youngest son michael step take care would-b killer launch campaign bloodi reveng,Drama
Maybe... Maybe Not,1994-10-05,Comedy|Drama,der bewegt mann german comedi heterosexu man axel thrown girlfriend home cheat end move gay man axel learn advantag live gay men even attract girlfriend want back must make tough decis,Comedy
Police Story 3: Supercop,1992-07-04,Action|Crime|Thriller,hong kong detect team femal red chines counterpart stop chines drug czar,Action
Manny & Lo,1996-01-22,Drama|Comedy,pregnant teen younger sister run away foster home kidnap woman believ help pregnanc,Drama
Wife,1953-04-29,Drama,year marriag wife disappoint husband lack financi success mean work ca n't treat husband find wife sloven mean-spirit cook clean particular well general disagre turn altern ignor treat servant particular happi help unsatisfactori lodger husband easili seduc ex-colleagu widow small child need secur consid leav wife,Drama
Bound,1996-09-13,Crime|Drama|Romance|Thriller,corki tough femal ex con lover violet concoct scheme steal million stash mob money pin blame violet crook boyfriend caeser,Crime
Carpool,1996-08-23,Comedy|Family,man import busi meet find take care carpool neighborhood school children wife get sick stop get donut kid thing go even awri find victim robberi howev situat get wors desper man contempl bank robberi rob robber take man kid hostag van truck block armor car thing proceed comed chase movi father find kid n't realli respect react better robber end result everyon get lifestyl chang includ origin store owner,Comedy
Death in Brunswick,1990-11-08,Drama,reserv man need job carl fitzgerald find employ greek restaur meet waitress sophi carl begin date attract woman seem thing improv carl unexpect situat lead death mustafa shadi cowork carl must figur cover incid unsur carl enlist help buddi dave get rid mustafa corps,Drama
Kansas City,1996-08-16,Thriller|Drama|Music|Crime,robert altman stori riff race class power cross-cut kidnap background corrupt polit virtuoso jazz music take place kansa citi,Thriller
Gone Fishin',1997-05-30,Comedy|Family,fish fanat get troubl fish boat get stolen trip,Comedy
Lover's Knot,1996-07-12,Romance|Comedy,pair lover idea affair overseen orchestr angel sent cupid see remain togeth romant comedi,Romance
Vive L'Amour,1994-09-02,Drama,film focus citi folk unknow share apart mei real estat agent use sexual affair ah-jung current lover hsiao-ang 's stolen key use apart retreat,Drama
Shadow of Angels,1976-01-31,Drama,beauti detach lacon consumpt lili brest streetwalk client love idl boyfriend raoul gambl away littl earn town power broker call rich jew discov good listen 's soon busi raoul imagin grotesqu sex scene lili jew leav man parent bitter fascist cabaret singer drag wheelchair-bound mother offer refug even philosoph bent whore reject lili toler everyon includ men tire lone life look way even act serv local corrupt power,Drama
Killer: A Journal of Murder,1996-09-06,Drama,carl panzram sent leavenworth prison burglari brutal beaten guard neophyt guard henri lesser feel sympathi panzram befriend get write life stori lesser learn panzram past much violent thought also 's capabl much better person rest prison staff believ lesser think,Drama
Nothing to Lose,1994-01-01,Action|Crime|Drama,young street fighter seek reveng power drug lord kill entir famili use mani special combat skill 's take whole crimin oper reach goal whatev consequ,Action
Project S,1993-10-21,Action|Adventure|Crime,crime wave sweep hong kong polic call jessica yang yeoh rise star rank help stop notori gang thiev jessica n't realiz boyfriend recent discharg forc leader ruthless crime ring ,Action
Girls Town,1996-08-21,Comedy|Drama,women patti emma angela nicki complet last year high school unfortun group nicki unexpect commit suicid remain women find nicki rape die begin talk way oppress men live begin fight togeth take reveng emma rapist patti abus ex-boyfriend final nicki rapist,Comedy
The Relic,1997-01-10,Horror|Mystery|Thriller,research chicago natur histori museum return south america crate contain find when crate arriv museum owner appear littl insid howev polic discov gruesom murder cargo ship brought crate us murder museum,Horror
First Kid,1996-08-30,Comedy|Family,say leader countri loneliest job world child world leader doubli constant surround secur offic restrict movement almost wake moment care monitor make normalci imposs one know better young luke davenport son u.s presid davenport vent loneli frustrat feel isol famili friend brat privat secret servic agent when agent snap strain front first ladi new agent assign luke turn enorm sam simm bit rogu manag rise rank sheer determin rather strict adher secret-servic protocol first luke tri old trick sam instead get angri sam seem actual understand,Comedy
The Trigger Effect,1996-08-30,Drama|Thriller,how tenuous man hold civil surviv becom issu when light go stay sever day suburbanit matthew anni learn hard way man natur predatori creatur matthew long-tim friend joe happen second day rivalri friend simmer anni care sick babi is meant man inhuman man ,Drama
Bulletproof,1996-09-06,Action|Adventure|Comedy|Thriller,undercov polic offic name rock keat befriend drug dealer car thief name archi mose bid catch villain drug lord frank coltan problem keat cop real name jack carter work undercov lapd bust mose colton sting oper lapd set,Action
Talk of Angels,1998-10-30,Drama|Romance|War,stori young irish woman come spain escap pressur feel impend marriag polit activist ireland spain take job gover wealthi famili find kind polit unrest fact n't long find attract marri man similar involv struggl fascism franco awaken natur bring men resolv must life left ireland,Drama
The Land Before Time III: The Time of the Great Giving,1995-03-16,Animation|Adventure|Family,littlefoot friend constant bulli browbeaten teenag dinosaur hyp hypsilophodon nod nodosaurus mutt muttaburrasaurus howev shower meteorit fli rock impact great valley caus rock slide mysteri beyond block water suppli great valley hyp nod mutt longer biggest worri littlefoot friend increas lack water caus conflict inhabit great valley live relat peac harmoni event,Animation
Halloween: The Curse of Michael Myers,1995-09-29,Horror|Thriller,year ago michael myer terror town haddonfield illinoi niec jami lloyd disappear jami kidnap bunch evil druid protect michael myer year later jami escap give birth michael child run haddonfield get dr loomi help,Horror
Twelfth Night,1996-10-31,Drama|Comedy|Romance,shakespear comedi gender confus girl disguis man count ador pursu woman love,Drama
Mother Night,1996-11-01,Drama|History,american spi line wwii serv nazi propagandist role escap futur life never reveal real role war,Drama
Liebelei,1933-03-10,Drama|Romance,vienna begin twentieth centuri cavalri lieuten fritz lobheim end affair baro eggerdorff meet young christin daughter opera violinist baron eggerdorff howev soon hear past misfortun ,Drama
Venice,2010-05-25,Drama|Romance,atmospher coming-of-ag stori featur imagin young boy name marek dream escap increas danger poland eve war beauti venic,Drama
Wild Reeds,1994-05-05,Drama|Romance,set rural franc end algerian war immers music sixti film follow student friendship love francoi best friend girl mait instead fall love boy serg serg fall mait henri outsid algerian-born frenchman fled war catalyst francoi find ident,Drama
For Whom the Bell Tolls,1943-07-12,Drama|History|Romance|Thriller,spain place man action robert jordan civil war go jordan join side appeal idealist era ernest hemingway friend given high-risk assign mountain await right time blow bridg cave,Drama
The Philadelphia Story,1940-12-05,Comedy|Romance,philadelphia heiress traci lord throw playboy husband c.k dexter haven short marriag year later traci marri respect georg kittredg whilst dexter work spi magazin dexter arriv lord mansion day wed journalist mike connor photograph liz imbri determin spoil thing,Comedy
Singin' in the Rain,1952-04-10,Comedy|Music|Romance,hollywood don lockwood lina lamont famous on-screen romant pair silent movi lina mistak on-screen romanc real love when latest film transform music don perfect voic song strident voic face studio dub voic aspir actress kathi selden brought work movi don fall love,Comedy
An American in Paris,1951-08-08,Drama|Comedy|Music|Romance,jerri mulligan exuber american expatri pari tri make reput painter friend adam struggl concert pianist 's long time associ famous french singer henri baurel a lone societi woman milo robert take jerri wing support interest art,Drama
Breakfast at Tiffany's,1961-10-05,Comedy|Drama|Romance,fortun hunter holli golight find captiv aspir writer paul varjak 's move build wealthi woman dime romanc bloom paul holli doc golight show scene reveal holli past,Comedy
Rear Window,1954-08-01,Drama|Mystery|Thriller,profession photograph l.b jeff jeffri break leg get action shot auto race confin new york apart spend time look rear window observ neighbor begin suspect man courtyard may murder wife jeff enlist help high societi fashion-consult girlfriend lisa freemont visit nurs stella investig,Drama
It Happened One Night,1934-02-22,Comedy|Romance,elli andrew tie knot societi aviat king westley whisk away father yacht king clutch elli jump ship eventu wind bus head back husband reluct must accept help out-of- work report peter warn actual warn n't give choic stick get back husband ll blow whistl elli father way peter get want realli juici newspap stori ,Comedy
Gaslight,1944-05-04,Drama|Mystery|Thriller|Crime,late 19th centuri paula alquist studi music itali end abandon class 's fallen love gallant gregori anton coupl marri move england live home inherit paula aunt famous singer mysteri murder hous year paula certain see hous gaslight dim even strang nois come attic gregori convinc paula 's imagin thing meanwhil scotland yard inspector brian cameron becom sympathet paula plight,Drama
The Gay Divorcee,1934-10-12,Comedy|Music|Romance,guy holden fall mimi glossop know 's marri 's tri get divorc dizzi aunt incompet lawyer hire profession correspond pose lover when guy unknow give mimi code phrase think 's faux beau confus genuin interest part act,Comedy
